iz,iK,iS,z,K,S,V,HR,IK,Sprime,constrained
   1,   1,   1,  2.524620E-01,  5.000000E-02,  5.000000E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  4.250000E-02,1
   1,   1,   2,  2.524620E-01,  5.000000E-02,  5.435742E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  4.620380E-02,1
   1,   1,   3,  2.524620E-01,  5.000000E-02,  5.909457E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.023039E-02,1
   1,   1,   4,  2.524620E-01,  5.000000E-02,  6.424457E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.460788E-02,1
   1,   1,   5,  2.524620E-01,  5.000000E-02,  6.984337E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.936687E-02,1
   1,   1,   6,  2.524620E-01,  5.000000E-02,  7.593011E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  6.454059E-02,1
   1,   1,   7,  2.524620E-01,  5.000000E-02,  8.254729E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  7.016519E-02,1
   1,   1,   8,  2.524620E-01,  5.000000E-02,  8.974115E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  7.627997E-02,1
   1,   1,   9,  2.524620E-01,  5.000000E-02,  9.756194E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  8.292765E-02,1
   1,   1,  10,  2.524620E-01,  5.000000E-02,  1.060643E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  9.015465E-02,1
   1,   1,  11,  2.524620E-01,  5.000000E-02,  1.153076E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  9.801148E-02,1
   1,   1,  12,  2.524620E-01,  5.000000E-02,  1.253565E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  1.065530E-01,1
   1,   1,  13,  2.524620E-01,  5.000000E-02,  1.362811E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  1.158389E-01,1
   1,   1,  14,  2.524620E-01,  5.000000E-02,  1.481578E-01,  0.000000E+00,  2.326918E-05,  5.172414E-03,  1.260152E-01,1
   1,   1,  15,  2.524620E-01,  5.000000E-02,  1.610695E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.369902E-01,1
   1,   1,  16,  2.524620E-01,  5.000000E-02,  1.751064E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.490942E-01,1
   1,   1,  17,  2.524620E-01,  5.000000E-02,  1.903666E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  1.618116E-01,1
   1,   1,  18,  2.524620E-01,  5.000000E-02,  2.069568E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.761670E-01,1
   1,   1,  19,  2.524620E-01,  5.000000E-02,  2.249927E-01,  0.000000E+00,  2.326918E-05,  5.172414E-03,  1.913249E-01,1
   1,   1,  20,  2.524620E-01,  5.000000E-02,  2.446004E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  2.079104E-01,1
   1,   1,  21,  2.524620E-01,  5.000000E-02,  2.659170E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  2.260294E-01,1
   1,   1,  22,  2.524620E-01,  5.000000E-02,  2.890912E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.457275E-01,1
   1,   1,  23,  2.524620E-01,  5.000000E-02,  3.142850E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  2.671422E-01,1
   1,   1,  24,  2.524620E-01,  5.000000E-02,  3.416744E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.904232E-01,1
   1,   1,  25,  2.524620E-01,  5.000000E-02,  3.714507E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  3.157331E-01,1
   1,   1,  26,  2.524620E-01,  5.000000E-02,  4.038221E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  3.432487E-01,1
   1,   1,  27,  2.524620E-01,  5.000000E-02,  4.390145E-01,  0.000000E+00,  2.326918E-05,  1.086207E-01,  3.732434E-01,1
   1,   1,  28,  2.524620E-01,  5.000000E-02,  4.772738E-01,           NaN,  0.000000E+00,  5.172414E-03,  4.056828E-01,0
   1,   1,  29,  2.524620E-01,  5.000000E-02,  5.188675E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.410373E-01,1
   1,   1,  30,  2.524620E-01,  5.000000E-02,  5.640859E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.794730E-01,1
   1,   1,  31,  2.524620E-01,  5.000000E-02,  6.132450E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.212583E-01,1
   1,   1,  32,  2.524620E-01,  5.000000E-02,  6.666883E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.666851E-01,1
   1,   1,  33,  2.524620E-01,  5.000000E-02,  7.247891E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.160707E-01,1
   1,   1,  34,  2.524620E-01,  5.000000E-02,  7.879532E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.697602E-01,1
   1,   1,  35,  2.524620E-01,  5.000000E-02,  8.566220E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  7.281287E-01,1
   1,   1,  36,  2.524620E-01,  5.000000E-02,  9.312752E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  7.915839E-01,1
   1,   1,  37,  2.524620E-01,  5.000000E-02,  1.012434E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.605691E-01,1
   1,   1,  38,  2.524620E-01,  5.000000E-02,  1.100666E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.355663E-01,1
   1,   1,  39,  2.524620E-01,  5.000000E-02,  1.196587E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.017099E+00,1
   1,   1,  40,  2.524620E-01,  5.000000E-02,  1.300868E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.105738E+00,1
   1,   1,  41,  2.524620E-01,  5.000000E-02,  1.414237E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.202101E+00,1
   1,   1,  42,  2.524620E-01,  5.000000E-02,  1.537485E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.306862E+00,1
   1,   1,  43,  2.524620E-01,  5.000000E-02,  1.671474E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.420753E+00,1
   1,   1,  44,  2.524620E-01,  5.000000E-02,  1.817140E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.544569E+00,1
   1,   1,  45,  2.524620E-01,  5.000000E-02,  1.975501E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.679176E+00,1
   1,   1,  46,  2.524620E-01,  5.000000E-02,  2.147663E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.825513E+00,1
   1,   1,  47,  2.524620E-01,  5.000000E-02,  2.334828E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.984604E+00,1
   1,   1,  48,  2.524620E-01,  5.000000E-02,  2.538304E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.157558E+00,1
   1,   1,  49,  2.524620E-01,  5.000000E-02,  2.759513E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.345586E+00,1
   1,   1,  50,  2.524620E-01,  5.000000E-02,  3.000000E+00,           NaN,  2.326918E-05,  5.689655E-02,  2.550081E+00,0
   1,   2,   1,  2.524620E-01,  5.435742E-02,  5.000000E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  4.250000E-02,1
   1,   2,   2,  2.524620E-01,  5.435742E-02,  5.435742E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  4.620380E-02,1
   1,   2,   3,  2.524620E-01,  5.435742E-02,  5.909457E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.023039E-02,1
   1,   2,   4,  2.524620E-01,  5.435742E-02,  6.424457E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.460788E-02,1
   1,   2,   5,  2.524620E-01,  5.435742E-02,  6.984337E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  5.936687E-02,1
   1,   2,   6,  2.524620E-01,  5.435742E-02,  7.593011E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  6.454059E-02,1
   1,   2,   7,  2.524620E-01,  5.435742E-02,  8.254729E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  7.016519E-02,1
   1,   2,   8,  2.524620E-01,  5.435742E-02,  8.974115E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  7.627997E-02,1
   1,   2,   9,  2.524620E-01,  5.435742E-02,  9.756194E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  8.292765E-02,1
   1,   2,  10,  2.524620E-01,  5.435742E-02,  1.060643E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  9.015465E-02,1
   1,   2,  11,  2.524620E-01,  5.435742E-02,  1.153076E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  9.801148E-02,1
   1,   2,  12,  2.524620E-01,  5.435742E-02,  1.253565E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  1.065530E-01,1
   1,   2,  13,  2.524620E-01,  5.435742E-02,  1.362811E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  1.158389E-01,1
   1,   2,  14,  2.524620E-01,  5.435742E-02,  1.481578E-01,  0.000000E+00,  2.326918E-05,  5.689655E-02,  1.260152E-01,1
   1,   2,  15,  2.524620E-01,  5.435742E-02,  1.610695E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.371628E-01,1
   1,   2,  16,  2.524620E-01,  5.435742E-02,  1.751064E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.490942E-01,1
   1,   2,  17,  2.524620E-01,  5.435742E-02,  1.903666E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  1.618116E-01,1
   1,   2,  18,  2.524620E-01,  5.435742E-02,  2.069568E-01,  0.000000E+00,  8.259481E-05,  5.689655E-02,  1.761670E-01,1
   1,   2,  19,  2.524620E-01,  5.435742E-02,  2.249927E-01,  0.000000E+00,  2.326918E-05,  5.172414E-03,  1.913249E-01,1
   1,   2,  20,  2.524620E-01,  5.435742E-02,  2.446004E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.079104E-01,1
   1,   2,  21,  2.524620E-01,  5.435742E-02,  2.659170E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.260294E-01,1
   1,   2,  22,  2.524620E-01,  5.435742E-02,  2.890912E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  2.457275E-01,1
   1,   2,  23,  2.524620E-01,  5.435742E-02,  3.142850E-01,           NaN,  0.000000E+00,  5.172414E-03,  2.671422E-01,0
   1,   2,  24,  2.524620E-01,  5.435742E-02,  3.416744E-01,           NaN,  0.000000E+00,  5.172414E-03,  2.904232E-01,0
   1,   2,  25,  2.524620E-01,  5.435742E-02,  3.714507E-01,  0.000000E+00,  0.000000E+00,  5.172414E-03,  3.157331E-01,1
   1,   2,  26,  2.524620E-01,  5.435742E-02,  4.038221E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  3.432487E-01,1
   1,   2,  27,  2.524620E-01,  5.435742E-02,  4.390145E-01,  0.000000E+00,  2.326918E-05,  1.086207E-01,  3.732434E-01,1
   1,   2,  28,  2.524620E-01,  5.435742E-02,  4.772738E-01,           NaN,  0.000000E+00,  5.172414E-03,  4.056828E-01,0
   1,   2,  29,  2.524620E-01,  5.435742E-02,  5.188675E-01,           NaN,  0.000000E+00,  5.172414E-03,  4.410373E-01,0
   1,   2,  30,  2.524620E-01,  5.435742E-02,  5.640859E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.794730E-01,1
   1,   2,  31,  2.524620E-01,  5.435742E-02,  6.132450E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.212583E-01,1
   1,   2,  32,  2.524620E-01,  5.435742E-02,  6.666883E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.666851E-01,1
   1,   2,  33,  2.524620E-01,  5.435742E-02,  7.247891E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.160707E-01,1
