K,V,L,HP,HR,IK,Kprime,Sprime,Dprime,Y,constrained
  1.000000E-02,  1.158281E+00,  2.909452E-02,  3.816054E-03,  2.421460E-03,  1.125000E-01,  1.215000E-01,  1.336678E-01,  1.040358E-01,  3.474174E-02,1
  1.114191E-02,  1.160533E+00,  3.090632E-02,  4.096736E-03,  2.421460E-03,  1.125000E-01,  1.225277E-01,  1.336678E-01,  1.033966E-01,  3.690519E-02,1
  1.241422E-02,  1.160511E+00,  3.282480E-02,  4.397083E-03,  3.693752E-03,  1.125000E-01,  1.236728E-01,  1.367350E-01,  1.040471E-01,  3.919612E-02,1
  1.383182E-02,  1.163689E+00,  3.485593E-02,  4.718288E-03,  1.587401E-03,  1.750000E-01,  1.874486E-01,  1.315704E-01,  1.636450E-01,  4.162148E-02,1
  1.541130E-02,  1.164980E+00,  3.700506E-02,  5.061542E-03,  3.693752E-03,  1.750000E-01,  1.888702E-01,  1.367350E-01,  1.650898E-01,  4.418781E-02,1
  1.717113E-02,  1.166934E+00,  3.927934E-02,  5.428633E-03,  5.634538E-03,  1.750000E-01,  1.904540E-01,  1.412202E-01,  1.663227E-01,  4.690357E-02,1
  1.913193E-02,  1.172110E+00,  4.168355E-02,  5.820157E-03,  8.595059E-03,  1.750000E-01,  1.922187E-01,  1.477791E-01,  1.685757E-01,  4.977441E-02,1
  2.131663E-02,  1.187363E+00,  4.422484E-02,  6.237902E-03,  1.311111E-02,  1.750000E-01,  1.941850E-01,  1.573706E-01,  1.724046E-01,  5.280888E-02,1
  2.375081E-02,  1.188158E+00,  4.691125E-02,  6.684252E-03,  1.311111E-02,  1.750000E-01,  1.963757E-01,  1.573706E-01,  1.714881E-01,  5.601681E-02,1
  2.646294E-02,  1.219280E+00,  4.974845E-02,  7.159802E-03,  2.421460E-03,  2.375000E-01,  2.613166E-01,  1.336678E-01,  2.218987E-01,  5.940459E-02,1
