z,V,L,HP,HR,IK,Kprime,Sprime,Dprime,Y,constrained
  2.366546E-01, -1.008884E+09,  1.533110E-03,  1.000000E-03,  0.000000E+00, -1.000000E-01,  2.058065E-02,  1.020911E-01,  0.000000E+00,  1.573844E-03,0
  3.157127E-01, -9.505652E+08,  2.994470E-03,  1.000000E-03,  0.000000E+00, -1.000000E-01,  2.058065E-02,  1.020911E-01,  0.000000E+00,  3.074106E-03,0
  4.211812E-01, -8.459466E+08,  9.160252E-03,  2.370931E-03,  0.000000E+00, -1.000000E-01,  2.058065E-02,  1.020911E-01,  0.000000E+00,  9.404041E-03,0
  5.618832E-01, -6.578567E+08,  2.809326E-02,  6.278426E-03,  0.000000E+00, -1.000000E-01,  2.058065E-02,  1.020911E-01,  0.000000E+00,  2.884083E-02,0
  7.495887E-01, -2.612662E+08,  7.551683E-02,  1.411785E-02,  0.000000E+00, -7.241379E-02,  4.816685E-02,  1.020911E-01,  0.000000E+00,  7.752658E-02,0
  1.000000E+00, -1.096949E+08,  1.836366E-01,  2.773538E-02,  2.421460E-03,  5.172414E-02,  1.723048E-01,  1.087249E-01,  0.000000E+00,  1.885237E-01,0
  1.334065E+00, -4.605542E+07,  4.144885E-01,  4.863157E-02,  8.595059E-03,  1.344828E-01,  2.550634E-01,  1.228362E-01,  0.000000E+00,  4.255196E-01,0
  1.779729E+00, -1.784302E+07,  8.879429E-01,  7.784273E-02,  8.362510E-02,  2.586207E-01,  3.792013E-01,  2.628571E-01,  2.836280E-03,  9.115737E-01,0
  2.374275E+00, -8.525987E+06,  1.838356E+00,  1.165273E-01,  3.496579E-01,  3.000000E-01,  4.205806E-01,  6.846908E-01,  0.000000E+00,  1.887280E+00,0
  3.167437E+00, -4.701561E+06,  3.725489E+00,  1.665936E-01,  5.000000E-01,  3.000000E-01,  4.205806E-01,  9.059212E-01,  0.000000E+00,  3.824631E+00,0
  4.225567E+00, -2.929340E+06,  7.450206E+00,  2.310065E-01,  5.000000E-01,  3.000000E-01,  4.205806E-01,  9.059212E-01,  0.000000E+00,  7.648474E+00,0
